,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
100,Kevin Danso\Kevin-Danso,at AUT,DF,Southampton,20,1998,3.1,115,159,72.3,2054,902,0,3,0.0,93,109,85.3,22,47,46.8,1,0.2,+0.8,1,10,2,1,14,Matches
101,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,26,1993,15.9,730,956,76.4,13128,5290,14,40,35.0,588,699,84.1,128,217,59.0,0,0.6,-0.6,10,62,9,6,91,Matches
102,Tom Davies\Tom-Davies,eng ENG,MF,Everton,21,1998,22.5,681,870,78.3,13271,4037,8,36,22.2,517,611,84.6,156,223,70.0,0,0.3,-0.3,5,83,16,0,114,Matches
103,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,21,1998,6.1,107,141,75.9,1475,201,5,11,45.5,94,118,79.7,8,12,66.7,0,0.2,-0.2,7,7,2,0,8,Matches
104,Craig Dawson\Craig-Dawson,eng ENG,DF,Watford,29,1990,26.2,729,908,80.3,17549,5757,4,14,28.6,426,485,87.8,299,409,73.1,0,0.3,-0.3,4,57,2,0,53,Matches
105,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,28,1991,31.0,1674,2244,74.6,34634,10510,27,91,29.7,1176,1423,82.6,471,730,64.5,20,18.4,+1.6,131,172,124,19,353,Matches
106,Troy Deeney\Troy-Deeney,eng ENG,FW,Watford,31,1988,24.7,405,707,57.3,6233,2062,13,48,27.1,340,542,62.7,52,117,44.4,2,3.4,-1.4,27,49,25,1,72,Matches
107,Fabian Delph\Fabian-Delph,eng ENG,MF,Everton,29,1989,13.2,676,778,86.9,14008,3540,7,16,43.8,480,522,92.0,189,240,78.8,0,0.3,-0.3,6,63,15,4,67,Matches
108,Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,24,1995,31.1,1087,1284,84.7,22070,4878,8,36,22.2,799,921,86.8,280,327,85.6,0,0.6,-0.6,7,54,4,1,59,Matches
109,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Watford,25,1994,23.3,603,823,73.3,10186,2555,26,73,35.6,461,558,82.6,116,192,60.4,5,4.6,+0.4,45,30,29,2,75,Matches
110,Eric Dier\Eric-Dier,eng ENG,DFMF,Tottenham,25,1994,14.9,713,876,81.4,15425,4283,13,20,65.0,463,538,86.1,237,318,74.5,2,0.1,+1.9,4,56,3,0,45,Matches
111,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,26,1993,33.7,1353,1946,69.5,25902,11352,15,82,18.3,1048,1287,81.4,290,577,50.3,7,5.7,+1.3,70,97,42,24,302,Matches
112,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,28,1991,38.0,2791,3085,90.5,65378,18436,14,22,63.6,1736,1840,94.3,1041,1223,85.1,1,1.3,-0.3,7,228,9,0,156,Matches
113,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,22,1997,30.7,755,948,79.6,15502,5630,17,39,43.6,517,588,87.9,221,321,68.8,1,0.8,+0.2,4,51,2,0,44,Matches
114,Moussa Djenepo\Moussa-Djenepo,ml MLI,MFDF,Southampton,21,1998,10.3,191,264,72.3,2736,894,8,21,38.1,166,205,81.0,17,38,44.7,2,1.3,+0.7,13,11,15,2,33,Matches
115,Matt Doherty\Matt-Doherty,ie IRL,DF,Wolves,27,1992,31.5,1369,1793,76.4,22390,9051,33,86,38.4,1133,1380,82.1,203,327,62.1,3,1.7,+1.3,23,86,18,9,239,Matches
116,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,26,1993,35.1,1302,1658,78.5,21942,4818,44,112,39.3,1029,1240,83.0,229,306,74.8,2,2.6,-0.6,33,119,31,4,110,Matches
117,Thomas Doyle\Thomas-Doyle,eng ENG,MFFW,Manchester City,17,2001,0.2,19,19,100.0,279,26,0,0,,17,17,100.0,2,2,100.0,0,0.0,0.0,0,1,0,0,0,Matches
118,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Burnley,29,1990,0.6,11,20,55.0,183,39,0,3,0.0,10,12,83.3,1,5,20.0,0,0.0,0.0,0,0,0,0,2,Matches
119,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Aston Villa,29,1990,2.9,136,167,81.4,2638,565,2,7,28.6,98,113,86.7,36,47,76.6,0,0.0,0.0,1,16,1,0,11,Matches
